abandonar;leave
amenazado;threatened
amenazar;to threat
amortiguador;shock absorber
amortiguar;shock_absorber
amparado;protected
ampliación;extension
ampliamente;widely
ampliar;enlarge
amplio;large
américa;united_states
ancho;width
anciano;old man
andar;walk
animal;animal
animosidad;animosity
antecedente;ancestor
anterior;previous
anticonceptivo;contraceptive
antieconómico;wasteful
antiguo;ancient
antirretroviral;antiretroviral
antirretrovírico;antiretroviral
antártida;antarctica
anual;annual
anualmente;annually
anular;natural
anunciar;announce
anuncio;ad
apagándolo;turning it off
aparato;apparatus
aplicable;applicable
aplicación;app
aplicar;apply
aportar;contribute
aportir;contribute
apoyar;support
apoyo;support for
apreciable;appreciable
apreciar;cherish
apremiante;urgent
aprendizaje;learning
aprobar;approve
apropiado;appropriate
aprovechar;take advantage of
aproximado;approximate
aptitud;fitness
apto;suitable
arancel;duty
arbitrariedad;flightiness
aritmética;arithmetic
aritmético;arithmetic
arma;weapon
armado;armed
armonía;harmony
arrecif;reef
arreglo;agreement
arroz;rice
artesanal;trade
ascender;ascend
asegurar;secure
asegurar yo;assure myself
asegurarno;make sure
asentamiento;colony
asequibl;affordable
asequible;affordable
asia;asia
asignación;assignment
asimismo;likewise
asistencia;attendance
asistir;attend
asociación;association
asociado;associated
asociar;associate
asolar;devastate
asombroso;amazing
aspecto;appearance
aspectos;aspects
aspirante;campaigner
aspirar;aspire
asumir;to assume
asunto;matter
atención;attention
atender;attend
atmosférico;atmospheric
atmósfera;atmosphere
atraer;attract
atrás;buttocks
audaz;boldface
aumentar;addition
aumente;addition
aumenten;addition
aumento;addition
ausencia;absence
automóvil;car
autoridad;authority
auténtico;authentic
avance;progress
avanzado;advanced
avanzar;move along
ayuda;aid
ayudar;aid
azul;blue
aéreo;forward_pass
añadido;added
añadir;attention_deficit_disorder
año;year
bajar;go down
bajo;bass
balance;balance
ballena;giant
ban;prohibition
banca;banking
bancario;banking
banco;bank
banda;set
barrera;barrier
barrio;vicinity
basado;based
base;base
basura;rubbish
bebar;drink
bebida;beverage
beca;scholarship
beijing;beijing
beneficiado;benefited
beneficiar;benefit
beneficiar yo;benefit me
beneficio;benefit
bicicleta;motorcycle
bien;right
bienestar;health
billón;billion
biocombustibl;biofuel
biodiversidad;biodiversity
bioenergía;bioenergy
biológica;biological
biológico;biological
bolsa;bag
bombilla;light bulb
bosque;forest
bosques;forests
botella;bottle
brecha;gap
brindar;to make a toast
brindir;toast
bruto;rough
busca;search
básico;necessity
cadena;string
calcular;calculate
calefacción;heating
calentamiento;heating
calentar;to warm
calidad;quality
calificado;qualified
calle;street
cambiar;change
cambio;change
caminar;to walk
camino;road
campaña;political_campaign
campesina;peasant
campesino;farmer
campo;countryside
cantidad;sum
capacidad;ability
capacitación;training
capacitado;capable
capaz;capable
capita;captain
capitalizar;capitalize
captación;catchment
captura;capture
característica;feature
característico;feature
carbono;carbon
carbón;coal
carecer;lack
carga;burden
cargo;position
caribe;caribbean
carretera;highway
casado;married
casar;marry
caso;case
catastrófico;catastrophic
categoría;class
cauce;channel
causa;cause
causado;caused
causar;cause
caza;hunt
celebrado;celebrated
celulares;cell phones
censo;census
centrado;centered
central;central
centrar;center
centro;center
centígrado;centigrade
cerca;stopping_point
cercano;near
cereal;cereal
cero;nothing
cerrado;closed
certificado;certificate
china;china
ciclo;cycle
ciencia;science
ciento;hundred
científico;scientific
cifra;figure
cimiento;foundation
circunstancia;circumstance
ciudad;city
ciudadano;citizen
ciudadanía;citizenship
civil;civil
claro;sure
clase;class
clave;key code
clima;climate
climatología;climatology
climáticamente;climatically
climático;climate
club;baseball_club
clínica;clinic
cm;centimeter
cobertura;coverage
cobrar;collect
cocina;kitchen
cocinar;cook
coeficiente;coefficient
coherencia;coherence
cohesión;coherence
colaborar;to collaborate
colaboren;collaborate
colocar;topographic_point
combatar;combat
combatir;battle
combustible;gas
comer;to eat
comercial;commercial
comercio;trade
cometido;undertaking
comida;food
comienzo;beginning
comisión;committee
comparación;comparison
compartido;shared
compartir;to share
compañera;spouse
compensar;make up for
competencia;competition
competitividad;competitiveness
competitivo;competitive
complementado;supplemented
complementir;complement
completamente;completely
completar;to complete
completo;complete
complicación;complication
componente;component
comportamiento;behavior
compra;purchase
comprar;to buy
comprender;understand
comprendido;understood
comprometer;engage
compromiso;committedness
compuesto;compound
comunicación;communication
comunicar;communicate
comunidad;community
comunidades;communities
comunitario;community
común;park
concentración;concentration
concentrar;dressed_ore
concesionario;concessionaire
concienciar;raise awareness
conclusión;decision
concreto;concrete
condición;condition
conectado;connected
conexas;related
conferencia;conference
conflicto;conflict
conforme;according
conformidad;accord
congelado;frozen
congestión;congestion
conjuntamente;jointly
conjunto;set
conllevar;carry
conocido;known
conocimiento;cognition
consecución;accomplishment
consecuencia;consequence
conseguir;get
consejo;tip
consenso;consensus
conservación;conservation
conservar;support
considerable;considerable
considerablemente;considerably
considerar;consider
consiguiente;consequent
consistir;consist
consolidado;consolidated
consonancia;consonance
constante;constant
constitución;fundamental_law
constituir;make up
construcción;building
construido;built
construir;build up
consumidor;consumer
consumir;consume
consumo;consumption
consúltense;consult
consúltese;consult
contabilidad;accounting
contaminación;pollution
contaminado;contaminated
contaminador;polluting
contaminant;contaminant
contaminante;pollutant
contaminar;to pollute
contar;count
contemporáneo;contemporary
contenedor;container
contener;contain
contenido;contents
contexto;context
continente;continent
contingente;quota
continuar;continue
continuo;continuous
continúar;continue
contraen;contract
contraer;contract
contratación;hiring
contrato;contract
contraído;contracted
contribución;contribution
contribuir;contribute
contribuyen;contribute
control;control
controlar;check
controversia;controversy
convención;convention
convenida;agreed
convenido;agreed
convenio;agreement
convenir;agree
convertir;convert
cooperación;cooperation
coordinación;coordination
coordinado;coordinated
coral;coral
correctivo;corrective
corredor;smuggler
corregir;correct
corresponder;correspond
correspondiente;correspondent
corriente;stream
corrupción;corruptness
cosa;material
cosecha;crop
costa;seashore
costar;cost
costero;coastal
costo;cost
costoso;expensive
cotidiano;daily
creación;creation
creador;godhead
crear;to create
creatividad;creativity
crecer;growing up
creciente;growth
crecimiento;addition
creencia;belief
creer;believe
creser;grow
crezcar;grow up
criatura;animal
crisis;crisis
criterios;criteria
crucial;crucial
crédito;recognition
crítica;criticism
crítico;critical
crónico;chronic
cualificado;skilled
cuarta;one-fourth
cubierto;covered
cubo;cube
cubrir;screen
cuenca;basin
cuenta;bill
cuestión;question
cuidado;watch out
cuidar;look after
cultivable;arable
cultivado;cultivated
cultivar;cultivate
cultivo;crop
cultura;culture
cultural;cultural
cumbre;acme
cumplir;comply
cursar;survey
curso;class
cálido;warm
cámara;camera
cápita;capita
dad;dad
dar;to give
dato;fact
datos;data
dañar;to damage
dañen;injury
daño;damage
debeer;duty
deber;have to
debido;due
debilitar;weaken
decenal;decennial
decenio;decade
decente;decent
decidir;to decide
decisión;decision
decisorio;decisive
declaración;statement
declarado;declared
dedicar;to dedicate
defecación;defecation
deficiente;deficient
definición;definition
deforestación;deforestation
degradación;degradation
degradado;degraded
dejar;lashkar-e-taiba
delincuencia;delinquency
delito;crime
demanda;demand
demandado;defendant
democracia;democracy
democrático;democratic
demostrar;show
denominado;called
denunciar;report
depender;to depend
derecho;law
derechos;rights
derivado;derived_function
derivir;derive
desacelerar;decelerate
desafío;challenge
desalinización;desalination
desaparecer;vanish
desaparición;disappearance
desarrollado;developed
desarrollar;develop
desarrollo;development
desastre;catastrophe
desastres;disasters
desatendida;unattended
desbloquear;to unlock
descomposición;decomposition
desconectar;gulf
desecho;disposal
desempeñar;play
desempleado;unemployed_people
desempleo;unemployment
desertificación;desertification
desfavorecido;disadvantaged
desg él;desg him
desglosado;broken down
deshielo;thaw
desigual;unequal
desigualdad;inequality
desigualdades;inequalities
desnutrición;malnutrition
desperdicio;waste
destinado;intended
destinar;be assigned
destinárar;allocate
destrucción;destruction
destructivo;destructive
destruir;destroy
desventaja;disadvantage
desvincular;unlink
detener;having
detenido;stopped
deteriorar;deteriorate
deterioro;deterioration
determinado;certain
determinar;determine
detrito;debris
deuda;debt
devaluar;devalue
devolución;tax_return
diario;daily
diarreica;diarrheal
dicho;saying
dieta;diet
dietética;dietetics
diferencia;difference
diferenciado;differentiated
dificultad;trouble
difundir;spread
difusión;diffusion
difícil;hard
digital;digital
digna;worthy
digno;worthy
dimensión;dimension
dinero;money
dinámica;moral_force
dinámico;moral_force
dirección;address
directamente;directly
directo;heterosexual
directrices;guidelines
dirigente;leader
dirigido;managed
dirigir;to direct
discapacidad;disability
discriminación;discrimination
discriminatoriir;discriminatory
discriminatorio;discriminatory
diseñar;design
disfrutar;to enjoy
disfrutir;enjoy
disminución;decrease
disminuir;diminish
disparidad;disparity
disponer;provide
disponibilidad;handiness
disponible;available
disposición;provision
distancia;distance
distinto;distinct
distorsión;distortion
distribución;distribution
distribuir;to distribute
disturbio;riot
diversidad;diverseness
diversificación;diversification
diverso;diverse
divulgación;divulgation
dióxido;dioxide
doble;double
docena;twelve
docente;teacher
documento;document
doha;doha
domesticado;domesticated
dominir;dominate
doméstico;domestic
donant;donor
dotar;endow
dulce;sweet
duplicar;double
duradero;durable
década;decade
déficit;deficit
dígito;digit
dólar;dollar
dólares;dollars
ecológicamente;ecologically
ecológico;ecological
economista;economist
economía;economy
económicamente;economically
económico;economic
económicos;cheap
ecosistema;ecosystem
ecosistemas;ecosystems
ecoturismo;ecotourism
edad;age
edificio;building
educación;education
educar;educate
educativo;educational
efectivamente;effectively
efectivo;cash
efecto;consequence
eficacia;effectiveness
eficaz;effective
eficazmente;effectively
eficiencia;efficiency
eficient;efficient
eficiente;efficient
ejecución;execution
ejemplo;example
ejercer;exercise
elaboración;amplification
elaborar;elaborate
elección;choice
electo;chosen
electricidad;electricity
electrónico;electronic
elegir;to choose
elemental;elementary
elemento;component
elevación;elevation
elevado;high
elevar;raise
eliminación;elimination
eliminar;remove
eléctrico;electric
emaciación;bonyness
embarazado;pregnant
embarazo;pregnancy
emergente;emergent
emigrar;emigrate
emisión;issue
emocional;emotional
empezar;start
empleado;employee
empleador;employer
emplear;use
empleo;occupation
empobrecido;impoverished
empodera;empowers
empoderamiento;authorization
empoderar;to empower
emprender;undertake
emprendimiento;entrepreneurship
empresa;business
empresarial;business
empresario;entrepreneur
empresas;business
encaminado;on track
encargada;in charge
enchufar;plug
encontrar;discovery
endeudado;indebted
endeudamiento;indebtedness
energético;energetic
energía;energy
energío;energy
enfermedad;illness
enfoque;approach
enfrenar;bridle
enfrentar;deal
enorme;enormous
enredar;tangle
enseñanza;teaching
entender;to understand
entidad;entity
entorno;environment
entrar;get in
epidemia;epidemic
equidad;equity
equipo;equipment
equitativo;equitable
equivalente;equivalent
erosionar;erode
erosión;erosion
erradicación;eradication
erradicar;eradicate
escala;scale
escapar;get away
escasez;deficit
escaso;scarce
escaño;seat
escenario;scenery
esclavitud;bondage
escolar;school
escolarización;schooling
escolarizado;schooled
escolarizar;schooling
escuchar;listen
escuela;school
esencial;necessity
esfera;sphere
esforzar;strive
esfuerzo;attempt
espacio;space
especial;special
especialización;specialization
especialmente;especially
especie;species
específicamente;specifically
específico;particular
esperanza;hope
esperar;expect
espiritual;spiritual
esposa;wife
esposo;husband
esquema;scheme
estabilidad;stability
estable;sweetheart
establecer;establish
establecido;established
estadounidense;american
estadística;statistics
estadístico;statistical
estancamiento;stagnation
estar;beryllium
estatura;height
estatus;status
estilo;manner
estimación;estimate
estimar;estimate
estimular;to stimulate
estiércol;manure
estrategia;scheme
estrechamente;tightly
estropear;spoil
estructura;structure
estudiante;student
estudiar;to study
estudio;survey
estupefaciente;narcotic
estándar;standard
etapa;phase
etiquetaje;labeling
etnia;ethnicity
europa;europe
eutrofización;eutrophication
evasión;evasion
evento;event
evidencia;evidence
evitabl;avoidable
evitar;avoid
evolución;development
examen;trial
exceptuar;exempt
excesivo;excessive
excluir;exclude
exclusión;exclusion
exigir;demand
existente;existing
existir;exist
exitoso;successful
exorbitante;exorbitant
expandar;expand
expansión;expansion
experiencia;experience
experimentar;to experience
expertos;experts
explotación;exploitation
explotar;blow
exportación;export
exportar;export
exposición;exposition
expresar;express
expuesto;exposed
extender;to extend
extensión;extension
extenso;extensive
externo;external
extinción;extinction
extinguir;extinguish
extinto;extinct
extracción;extraction
extracto;infusion
extranjero;foreign
extraído;extracted
extremo;extreme
exótico;exotic
eólico;wind
fabricación;fabrication
facilidad;ease
facilitación;facilitation
facilitar;to ease
facilitándol;facilitating
factor;factor
fallecimiento;death
falta;lack
familia;family
familiar;family
fase;phase
fauna;fauna
favor;favor
favorable;favorable
favorecer;favor
fecal;fecal
fecha;date
femenino;feminine
fenómeno;freak
ferroviario;railway
fertilidad;birthrate
fiabilidad;dependability
fiabl;reliable
fiable;reliable
figurar;figure
fijar;pin up
fijo;permanent_wave
filipinas;philippines
final;final
finalmente;finally
financiación;financing
financiamiento;financing
financiar;to finance
financiero;financial
finch;finch
firmar;sign
firme;sign
fiscal;fiscal
fiscalizadora;inspector
flexibilidad;flexibility
flora;vegetation
fluvial;river
fmi;international_monetary_fund
fomentar;foment
fondo;background
for;for
forestación;afforestation
forestal;forest
forma;form
formación;training
formalización;formalization
formar;to form
formulación;formulation
formular;formulate
foro;forum
fortalecer;strengthen
fortalezcan;strengthen
forzado;forced
forzoso;forced
frenar;curb
frenir;curb
frente;front
fresco;cool
frontera;boundary_line
frustrar;frustrate
fuente;font
fuerza;strength
funcional;functional
funcionamiento;operation
funcionar;function
funcionario;official
función;function
fundamental;fundamental
fundamentalmente;fundamentally
fundamento;footing
furtivo;furtive
futuro;future
fácil;easy
físico;physical
fósil;dodo
gama;spectrum
ganancia;addition
ganar;addition
garantizado;guaranteed
garantizar;to guarantee
gas;gas
gastado;spent
gasto;spent
gen;gene
generación;coevals
generador;generator
general;general
generalizado;widespread
generar;generate
genere;generate
generir;generate
genital;genital
gente;people
genético;genetic
geográfico;geographical
gestionadas;managed
gestionado;managed
gestionar;manage
gestión;management
gini;gini
glaciar;glacier
global;global
globalización;globalization
gobernanza;administration
gobierno;government
gracias;thank you
grado;degree
gradual;gradual
granja;farm
grano;grain
gratuito;gratuitous
grave;serious
gripe;influenza
grupo;bunch
gubernamental;governmental
guerra;war
género;gender
haber;to have
habitable;habitable
habitante;inhabitant
habitar;live
habitual;usual
hacer;bash
haer;bash
hambre;hunger
hambriento;hungry
hectárea;hectare
hemorragia;bleeding
hepatitis;hepatitis
herencia;inheritance
hermoso;handsome
herramienta;tool
hervidero;drove
hidroeléctrica;hydroelectric
hidroeléctrico;hydroelectric
hielo;ice
higiene;hygiene
higienir;hygiene
hija;daughter
hijo;son
hincapié;emphasis
historia;history
históricamente;historically
histórico;historical
hogar;home
hoja;sheet
hombre;work_force
homicidio;homicide
homofobia;homophobia
hong;hong
hora;hour
huella;fingerprint
hulla;coal
humanidad;humanity
humano;homo
humanos;world
humedal;wetland
huracán;hurricane
hábitat;habitat
hábito;habit
hídrico;hydric
idea;idea
identidad;identity
identificación;idaho
identificado;identified
identificar;to identify
igualdad;equality
igualitario;egalitarian
ilegal;illegal
ilícito;illicit
impactar;impact
impacto;impact
impedir;prevent
implementación;execution
implementar;implement
implicar;to imply
implícito;implicit
importación;import
importancia;importance
important;important
importante;important
importarmar;importsea
importarme;care
imposible;impossible
impositivo;tax
impuesto;tax
impulsado;driven
impulsar;boost
impulsor;drive
impureza;impurity
inacción;inaction
inadecuado;inadequate
incentivar;encourage
incentivo;incentive
incidencia;incidence
incluido;included
incluir;include
inclusiva;inclusive
inclusivo;inclusive
inclusión;inclusion
incorporar;to incorporate
incrementar;addition
incremento;addition
indebido;improper
independiente;mugwump
independientemente;regardless
india;india
indicador;index
indicar;indicate
indirectamente;indirectly
individual;person
indonesia;indonesia
industralización;industrialization
industria;industry
industrial;industrial
industrialización;industrialization
indígena;indigenous
indígén;indigenous
ineficiente;inefficient
inesperado;unexpected
inestabilidad;instability
inevitablemente;inevitably
infancia;childhood
infantil;childish
infeccioso;infectious
infección;infection
infectar;infect
inferior;lower_berth
infertilidad;sterility
influir;influence
información;information
informado;informed
informal;informal
informar;report
informe;report
infraestructura;infrastructure
ingeniería;technology
ingerirlo;ingest it
ingesta;consumption
ingresar;get into
ingreso;entry
iniciativa;enterprise
iniciativo;enterprise
inicio;beginning
inmediato;immediate
inmenso;immense
inminente;imminent
innovación;invention
innovador;innovative
innovadora;innovative
insalubre;unhealthy
insecto;insect
inseguridad;unsafety
insostenible;untenable
inspiración;inspiration
inspirado;inspired
inspirar;inspire
instalación;facility
instancia;case
instar;to urge
institucional;institutional
institución;institution
instituto;institute
instrumental;instrumental
instrumento;instrument
insuficiencia;insufficiency
insuficiente;insufficient
insular;insular
insumo;input_signal
integración;integration
integrado;integrated
integral;integral
integrar;to integrate
integridad;integrity
intelectual;intellectual
inteligente;intelligent
intencional;intentional
intensivo;intensifier
intentar;attempt
interactuar;to interact
intercambien;exchange
intercambio;exchange
intercomunicado;intercommunication_system
interconectado;interconnected
interesado;interested
interesarnos;interest us
intergeneracional;intergenerational
intergubernamental;intergovernmental
interior;inside
internacional;international
internacionalmente;internationally
internet;internet
interno;internal
interrelación;interrelation
intervención;intervention
interés;interest
intolerancia;intolerance
intricado;intricate
introducción;introduction
introducir;introduce
inundación;flood
invasor;invasive
invernadero;greenhouse
inversa;reverse
inversiones;investments
inversión;investing
inversor;investor
invertebrado;invertebrate
invertir;invest
investigación;research
invisible;invisible
irreversible;irreversible
jeffrey;jeffrey
joven;young man
judicial;judicial
juicio;judgment
junio;june
junto;together
juntos;together
jurídico;legal
justa;carnival
justamente;justly
justicia;justice
justo;just
kilómetro;kilometer
kong;kong
labor;work
laboral;labor
lactant;lactating
lago;lake
lamentablemente;regrettably
lapobreza;poverty
lastre;ballast
latina;latin
lectura;reading
legal;legal
legalmente;legally
legislación;legislation
legislativo;legislative
legitimidad;legitimacy
lejos;army_for_the_liberation_of_rwanda
lentamente;slowly
lento;slow
lesión;injury
letrina;latrine
ley;law
leña;firewood
liberación;release
libertad;freedom
libre;free
libremente;freely
liderazgo;leadership
ligeramente;slightly
limitación;restriction
limitado;express
limitar;limit
limpia;clean_and_jerk
limpieza;cleaning
limpio;cleansed
litoral;seashore
llegar;get
llevar;wear
local;local
logrado;accomplished
lograr;achieve
lograremos;we will achieve
logro;accomplishment
londres;london
lucha;struggle
luchar;struggle
lugar;topographic_point
líder;leader
línea;line
macroeconómico;macroeconomic
madera;wood
madre;mother
mala;bad
malaria;malaria
malario;malaria
malnutrición;malnutrition
malo;bad
maltrato;mistreatment
mandato;mandate
manera;manner
manifestación;manifestation
mano;hand
manos;hands
mantener;clasp
mantengar;support
mantenimiento;care
manufactura;industry
manufacturero;manufacturer
mar;sea
marcar;tick
marcha;march
marco;model
marcos;frames
margen;margin
marginada;marginalized
marginado;outcast
marginal;marginal
marina;marine
marino;marine
mars;march
masivo;massive
matar;to kill
materia;matter
material;material
materno;maternal
maternoinfantil;maternal and child
matriculación;registration
matriculado;registered
matricular;enroll
matrimonio;marriage
mayor;aged
mayoría;most
maíz;corn
mecanismo;mechanism
media;one-half
mediados;mid
mediano;medium
medicamento;medicine
medicina;medicine
medida;measure
medido;measured
medio;medium
medioambiental;environmental
medir;to size
medran;thrive
megatón;megaton
mejor;better
mejora;gets better
mejorada;enhanced
mejorado;improved
mejorar;to improve
mejoren;improve
mencionar;to mention
menor;child
mensaje;message
mental;mental
mercado;market
meridional;southern
mes;calendar_month
meta;goal
metal;metallic_element
meteorológico;meteorological
metálico;metallic_element
mgf;mgf
microempresa;microenterprise
microfinanciación;microfinance
microorganismo;microorganism
miedo;fear
migración;migration
migrant;migrant
migratorio;migratory
mil;one thousand
milenio;millennium
millón;million
mineral;mineral
minimizar;minimize
ministerial;ministerial
minorista;retail
minuto;minute
miras;you look
miseria;misery
mitad;one-half
mitigación;extenuation
mitigar;to mitigate
moda;manner
modalidad;modality
modalidades;modalities
moderado;centrist
modernización;modernization
modernizar;modernize
moderno;modern
modo;manner
moldear;cast
molecular;molecular
momento;moment
monetario;monetary
montaña;mountain
montañoso;mountainous
morar;to dwell
morir;to die
mortalidad;mortality
mostrar;to show
motivar;to motivate
motivo;reason
motor;engine
mover;move
movilicir;mobilize
movilidad;mobility
movilización;mobilization
movilizar;mobilize
movimiento;motion
muerte;death
mujer;woman
multilateral;multilateral
multiplicación;generation
multiplicador;multiplier
mundial;universe
mundo;universe
municipal;municipal
mutilación;mutilation
mutuamente;mutually
mutuo;mutual
máximo;maximum
médico;checkup
métrica;prosody
mínimo;minimum
móvil;mobile
múltiple;multiple
nacer;born
nacido;born
nacimiento;birth
nacional;national
naciones;nations
nación;state
nativo;native
natural;natural
naturaleza;nature
necesario;necessity
necesidad;need
necesita;needs to
necesitar;need
necesitarer;need
necesitir;need
negar;deny
negativamente;negatively
negativo;negative
negociación;negotiation
negociar;deal
neonatal;neonatal
neto;internet
neumonía;pneumonia
neutro;neutral
nieve;snow
nigeria;nigeria
nivel;degree
niña;little girl
niño;little boy
noche;night
nociva;harmful
nocivo;harmful
noción;impression
norma;rule
normativo;normative
norte;north
nota;note
noventa;ninety
noviembre;november
nulo;nothing
numeroso;numerous
nutrición;nutrition
nutrient;food
nutrir;nourish
nutritiva;nourishing
nutritivo;nutritious
número;number
obesa;obese
objetivo;aim
objetivos;objectives
objeto;object
obligación;duty
obligar;obligate
obra;construction site
observar;expression
obstáculo;obstacle
obtención;obtaining
obtener;get
obtienen;get
occidental;western
ocde;oecd
oceanográfica;oceanographic
oceanía;oceania
oceánico;oceanic
ocupar;occupy
ocurrir;occur
océano;ocean
ods;ods
oferta;offer
oficial;official
ofrecer;to offer
oit;international_labor_organization
oms;world_health_organization
opción;option
operacional;operational
operación;operation
operar;operate
opinión;opinion
oportunidad;opportunity
oportuno;prompt
optar;to opt
ordenado;tidy
ordenador;computer
organismo;organism
organización;organization
organizado;organized
organizar;organize
orgánicamente;organically
orientación;orientation
orientado;oriented
oriental;oriental
oriente;east
origen;beginning
otorgar;grant
oxígeno;oxygen
pacto;covenant
pacífico;peaceful
padecer;suffer
padecerir;suffer
pagar;to pay
paisaje;scenery
paja;straw
palabra;word
panorama;view
papel;paper
paralelo;analogue
pareja;spouse
paridad;parity
parlamento;parliament
parte;part
partes;parts
participación;interest
participante;rival
participar;take part
participativo;participatory
particular;particular
particularmente;particularly
partnerships;partnerships
parto;birth
parís;paris
pasar;spend
paseo;walk
paso;measure
pastor;shepherd
patrimonio;heritage
patrón;form
paz;peace
país;state
países;countries
pedagógico;pedagogical
pedir;ask
peligro;danger
peligroso;dangerous
pensamiento;idea
pensar;to think
peor;worse
pequeño;little
per;but
perder;lose
periurbana;peri-urban
perjudicado;injured
perjudicar;injury
perjudicial;harmful
permanecer;stay
permanente;permanent_wave
permitir;allow
perseguirl;chase him
persistente;persistent
persistir;to persist
persona;person
personal;staff
perspectiva;position
pertinente;relevant
perturbación;perturbation
perturbar;to disturb
período;time_period
pesca;fishing
pescador;fisherman
pese;i weighed
pesquero;fishing
petróleo;petroleum
pez;fish
pib;gross_domestic_product
pieza;part
plan;plan
planeta;planet
planificación;planning
planificado;planned
planificar;to plan
plano;flat
planta;plant
plantear;airs
plataforma;platform
playa;beach
plazo;term
plenamente;fully
plenitud;comprehensiveness
pleno;full_moon
plástico;plastic
pnud;undp
población;population
pobre;poor_people
pobreza;poverty
poder;can
polen;pollen
policía;policeman
polución;pollution
política;politics
político;political
poner;put_option
porcentaje;percentage
porcentual;percentage
portador;carrier
poseer;possess
posibilidad;possibility
posible;possible
positivamente;positively
positivo;positive
posterior;later
potable;beverage
potencial;potential
potenciar;enhance
practicar;to practice
precario;precarious
precedente;preceding
precio;monetary_value
precipitación;precipitation
precisar;specify
preciso;accurate
precoz;early
preescolar;preschool
preferencial;preference
preguntar;to ask
preindustrial;preindustrial
prejuicio;bias
prematuro;premature
prenatal;prenatal
prenda;garment
preocupación;concern
preocupante;badgering
preocupar yo;worry me
preparado;prepared
preparar;set up
presencia;presence
presentación;presentation
presentar;introduce
preservar;preserve
presionar;imperativeness
presión;pressure
preso;prisoner
prestación;benefit
prestado;borrowed
prestar;to loan
prestir;lend
presupuestaria;budgetary
presupuesto;budget
pretendido;alleged
prevalecer;prevail
prevención;prevention
prevenibl;preventable
prevenible;preventable
prevenir;prevent
prever;foresee
previsible;foreseeable
primaria;primary
primario;primary
primero;first
primordialmente;primarily
principal;major
principalmente;mainly
principio;beginning
prioridad;precedence
prioritario;precedence
privado;private
privar;deprive
pro;professional
probabilidad;probability
probable;probable
problema;issue
proceda;proceed
procedencia;beginning
procedente;from
proceder;proceed
procesamiento;prosecution
procesar;procedure
proceso;procedure
procurar;to procure
producción;production
producido;produced
producir;produce
productividad;productiveness
productivo;productive
producto;merchandise
productor;manufacturer
productosy;products and
profesional;professional
profesor;professor
profundo;deep
programa;plan
programas;programs
progresar;advancement
progresivamente;progressively
progreso;advancement
prohibición;prohibition
prohibir;prohibition
prolongado;dragged on
promedio;average
promoción;promotion
promover;promote
promueir;promote
propagación;spread
propenso;prone
propicio;conducive
propiedad;property
proporcionar;provide
proporción;proportion
prosperar;thrive
prosperidad;prosperity
protección;protection
proteger;to protect
protegido;protected
proteína;protein
proveedor;supplier
proveer;provide
provenir;root
provisión;provision
provocado;caused
provocar;to provoke
proyección;projection
proyecto;undertaking
prudente;prudent
práctica;practice
práctico;practical
próspero;prosperous
próximo;next
pudreir;putrefaction
pueblo;village
puesta;put_option
puesto;market stall
punto;point
purificar;purify
párrafo;paragraph
pérdida;loss
pública;populace
público;populace
quedar;stay
quema;burning
quexesto;whats this
quintil;quintile
químico;chemical
racional;rational_number
racionalizar;rationalize
racismo;racism
ralentizar;slow down
raramente;rarely
ratificación;ratification
ratificar;ratify
ratio;rate
raza;race
razón;reason
